SMILES,"T,K",Solubility,Solvent,SMILES_Solvent,Source
Cc1nc(N)nc(N)n1,303.15,0.000365,methanol,CO,10.1021/acs.jced.9b00593
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,303.15,0.00102,methanol,CO,10.1021/acs.jced.9b00562
Cc1cnc(C(=O)O)cn1,303.15,2.01e-05,methanol,CO,10.1021/acs.jced.9b00406
Nc1nnn[nH]1,303.15,0.000954,methanol,CO,10.1021/acs.jced.9b00385
NNC(=O)NN.O=[N+]([O-])NC1=NC(C2N=NC(N[N+](=O)[O-])=N2)N=N1,303.15,0.0002201,methanol,CO,10.1021/acs.jced.9b00275
Sc1nc2ccccc2[nH]1,303.15,0.01228,methanol,CO,10.1021/acs.jced.9b00190
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,303.15,0.04523,methanol,CO,10.1021/acs.jced.9b00294
NS(=O)(=O)c1ccccc1,303.15,0.06098,methanol,CO,10.1021/acs.jced.9b00360
CN(C)/C=C/C(=O)c1cccnc1,303.15,0.04266,methanol,CO,10.1021/acs.jced.9b00047
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,303.15,0.003257,methanol,CO,10.1021/acs.jced.9b00310
N#Cc1cccc([N+](=O)[O-])c1C#N,303.15,0.004517,methanol,CO,10.1021/acs.jced.8b01250
O=Cc1cc([N+](=O)[O-])ccc1O,303.15,0.006448,methanol,CO,10.1021/acs.jced.9b00232
N[C@H](CC(=O)O)C(=O)O,303.15,0.0005812,methanol,CO,10.1021/acs.jced.9b00320
N#CCc1ccccc1[N+](=O)[O-],303.15,0.0235,methanol,CO,10.1021/acs.jced.9b00243
Nc1cc([N+](=O)[O-])ccc1Cl,303.15,0.0193,methanol,CO,10.1021/acs.jced.8b00931
CCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,303.15,0.003066,methanol,CO,10.1021/acs.jced.8b01181
N#CCC(N)=O,303.15,0.03997,methanol,CO,10.1021/acs.jced.8b01205
Cc1cccc(C(=O)O)c1N,303.15,0.04234,methanol,CO,10.1021/acs.jced.8b01226
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,303.15,0.0001163,methanol,CO,10.1021/acs.jced.8b01080
Nc1cccc2c(N)cccc12,303.15,0.002783,methanol,CO,10.1021/acs.jced.8b01214
Nc1cccc2cccc(N)c12,303.15,0.0551,methanol,CO,10.1021/acs.jced.8b01214
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,303.15,3.568e-05,methanol,CO,10.1021/acs.jced.8b01051
O=C(O)Cc1c[nH]c2ccccc12,303.15,1.383e-05,methanol,CO,10.1021/acs.jced.8b01265
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,303.15,0.0021,methanol,CO,10.1021/acs.jced.8b01062
NC(=O)c1ccc(N)cc1,303.15,0.01879,methanol,CO,10.1021/acs.jced.8b01144
CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C,303.15,0.0154,methanol,CO,10.1021/acs.jced.8b01099
COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,303.15,3.149e-06,methanol,CO,10.1021/acs.jced.8b01126
Cc1nc(C)c(C)nc1C,303.15,0.26223,methanol,CO,10.1021/acs.jced.8b00888
Nc1nc(Cl)c2[nH]cnc2n1,303.15,9.43e-05,methanol,CO,10.1021/acs.jced.8b01014
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,303.15,0.000637,methanol,CO,10.1021/acs.jced.8b00902
CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,303.15,0.0008899,methanol,CO,10.1021/acs.jced.8b00663
N#CCc1ccc([N+](=O)[O-])cc1,303.15,0.006948,methanol,CO,10.1021/acs.jced.8b00811
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,303.15,0.00035515,methanol,CO,10.1021/acs.jced.8b00717
NNC(=O)c1ccncc1,303.15,0.011175,methanol,CO,10.1021/acs.jced.8b00785
CC[C@@H](C(N)=O)N1CCCC1=O,303.15,0.1578,methanol,CO,10.1021/acs.jced.8b00720
O=C(O)c1cc2ccccc2cc1O,303.15,0.018,methanol,CO,10.1021/acs.jced.8b00578
CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,303.15,0.004114,methanol,CO,10.1021/acs.jced.8b00551
CC(C)(C#N)N=NC(C)(C)C#N,303.15,0.0212,methanol,CO,10.1021/acs.jced.7b00538
CC1(C)COP(=O)(C(Nc2ccccc2)c2ccccc2)OC1,303.15,0.0045,methanol,CO,10.1021/acs.jced.7b00585
Cc1ccc(S(N)(=O)=O)cc1,303.15,0.07298,methanol,CO,10.1021/acs.jced.7b00714
Cc1ccccc1S(N)(=O)=O,303.15,0.04249,methanol,CO,10.1021/acs.jced.7b00714
N#Cc1cccc([N+](=O)[O-])c1,303.15,0.01116,methanol,CO,10.1021/acs.jced.7b00615
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,303.15,0.001411,methanol,CO,10.1021/acs.jced.7b00542
NC(=O)c1cccnc1,303.15,0.1019498,methanol,CO,10.1021/acs.jced.8b00560
COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,303.15,0.0006663,methanol,CO,10.1021/acs.jced.8b00416
Nc1nc(Cl)cc(Cl)n1,303.15,0.002511,methanol,CO,10.1021/acs.jced.8b00292
O=C(O)c1c(O)cccc1O,303.15,0.27568,methanol,CO,10.1021/acs.jced.6b00957
O=C(c1ccccc1)C(O)c1ccccc1,303.15,0.00366,methanol,CO,10.1021/acs.jced.7b00238
COc1cc(C(=O)O)cc(OC)c1O,303.15,0.02085,methanol,CO,10.1021/acs.jced.7b00333
On1nnc2ccccc21,303.15,0.04445,methanol,CO,10.1021/acs.jced.7b00316
CC(C)(C)c1ccc(C(=O)O)cc1,303.15,0.0685,methanol,CO,10.1021/acs.jced.6b00965
COc1ccc(CN2CCNCC2)c(OC)c1OC.Cl,303.15,0.006821,methanol,CO,10.1021/acs.jced.8b00235
O=c1nc[nH]c2[nH]ncc12,303.15,7.596e-05,methanol,CO,10.1021/acs.jced.8b00430
Cc1cc(C)nc(Nc2ccccc2)n1,303.15,0.03106,methanol,CO,10.1021/acs.jced.8b00124
CC(=O)c1cccc([N+](=O)[O-])c1,303.15,0.01828,methanol,CO,10.1021/acs.jced.8b00192
CC(=O)c1ccc([N+](=O)[O-])cc1,303.15,0.02306,methanol,CO,10.1021/acs.jced.8b00192
COc1ccc(C(=O)N2CCCC2=O)cc1,303.15,0.006099,methanol,CO,10.1021/acs.jced.8b00023
Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,303.15,0.006965,methanol,CO,10.1021/acs.jced.7b01134
O=C(c1ccccc1)c1ccccc1,303.15,0.1299,methanol,CO,10.1021/acs.jced.8b00196
O=C(c1ccccc1)C(O)c1ccccc1,303.15,0.002928,methanol,CO,10.1021/acs.jced.7b00743
O=C(O)c1ccccc1O,303.15,0.13718,methanol,CO,10.1021/acs.jced.7b00665
Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,303.15,0.002782,methanol,CO,10.1021/acs.jced.7b00825
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O.[Na],303.15,0.000454,methanol,CO,10.1021/acs.jced.7b00846
C[C@@H]1O[C@@H]1P(=O)([O-])[O-].[Na+].[Na+],303.15,0.0128641,methanol,CO,10.1021/acs.jced.7b00638
CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,303.15,0.002704,methanol,CO,10.1021/acs.jced.7b00669
O=C(O)CS.[Na],303.15,0.001457,methanol,CO,10.1021/acs.jced.7b00245
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],303.15,0.0020159,methanol,CO,10.1021/acs.jced.6b00761
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,303.15,0.04548,methanol,CO,10.1021/acs.jced.6b00721
CC(=O)c1ccc(S(C)(=O)=O)cc1,303.15,0.0281,methanol,CO,10.1021/acs.jced.6b00617
O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,303.15,0.0049043,methanol,CO,10.1021/acs.jced.6b00349
O=C(O)/C=C/c1ccc(O)cc1,303.15,0.0438,methanol,CO,10.1021/acs.jced.6b00361
O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,303.15,0.003716,methanol,CO,10.1021/acs.jced.6b00230
CCOC(=O)c1ccc(N)cc1,303.15,0.1202,methanol,CO,10.1021/acs.jced.6b00037
CS(=O)(=O)c1ccc(C=O)cc1,303.15,0.004311,methanol,CO,10.1021/acs.jced.5b01053
OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,303.15,0.000337,methanol,CO,10.1021/acs.jced.5b00565
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,303.15,0.00192,methanol,CO,10.1021/acs.jced.5b00122
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,303.15,0.0008707,methanol,CO,10.1021/acs.jced.5b00714
O=C1OC(=O)c2c(Cl)cccc21,303.15,0.09678,methanol,CO,10.1021/acs.jced.5b00526
O=C1OC(=O)c2cc(Cl)ccc21,303.15,0.1671,methanol,CO,10.1021/acs.jced.5b00526
O=Cc1ccc2ccccc2c1,303.15,0.04183,methanol,CO,10.1021/acs.jced.5b00377
Nc1ccc(Cc2ccc(N)cc2)cc1,303.15,0.187,methanol,CO,10.1021/je501111d
C=C1C[C@]23C[C@H]1CC[C@H]2[C@@]12CC[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,303.15,0.074272,methanol,CO,10.1021/acs.jced.5b00190
O=P(NCc1ccccc1)(Oc1ccccc1)Oc1ccccc1,303.15,0.02306,methanol,CO,10.1021/acs.jced.5b00007
O=[N+]([O-])N1CN2CN(C1)CN([N+](=O)[O-])C2,303.15,6.66727e-09,methanol,CO,10.1021/acs.jced.5b00033
CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,303.15,0.0104685,methanol,CO,10.1021/je5010033
CC1(C)COC(=O)[C@@H]1O,303.15,0.4216,methanol,CO,10.1021/je500996n
C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,303.15,0.0022401,methanol,CO,10.1021/je501004g
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,303.15,0.010461,methanol,CO,10.1021/je501004g
CC1(C)COP(=O)(C(C)(O)c2ccccc2)OC1,303.15,0.01957,methanol,CO,10.1021/je500806u
O=C(O)c1ccc(O)c(O)c1,303.15,0.06538,methanol,CO,10.1021/je500519y
Nc1cc(Cl)nnc1Cl,303.15,0.016917,methanol,CO,10.1021/je500286x
Nc1ccc(S(=O)(=O)O)cc1,303.15,0.000342,methanol,CO,10.1021/je500867u
c1ccc2c(c1)sc1ccccc12,303.15,0.00331,methanol,CO,10.1021/je500437m
O=C1N2CN3C(=O)N([N+](=O)[O-])C4C3N(CN3C(=O)N([N+](=O)[O-])C(C23)N1[N+](=O)[O-])C(=O)N4[N+](=O)[O-],303.15,1.261e-05,methanol,CO,10.1021/je500392g
C[N+](C)(C)C[C@H](O)CC(=O)[O-],303.15,0.127123,methanol,CO,10.1021/je500078n
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,303.15,0.0193,methanol,CO,10.1021/je4010257
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,303.15,0.1247,methanol,CO,10.1021/je400507u
O=C1OC(=O)c2ccc(Br)c3cccc1c23,303.15,0.0002125,methanol,CO,10.1021/je400259a
CCNc1nc(Cl)nc(NC(C)C)n1,303.15,0.0036265,methanol,CO,10.1021/je400639m
O=P(Oc1ccccc1)(Oc1ccccc1)N1CCN(P(=O)(Oc2ccccc2)Oc2ccccc2)CC1,303.15,9.8362e-05,methanol,CO,10.1021/je400412z
O=[N+]([O-])c1nonc1-c1no[n+]([O-])c1-c1nonc1[N+](=O)[O-],303.15,0.0171022,methanol,CO,10.1021/je4005992
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,303.15,0.000955,methanol,CO,10.1021/je400218d
Clc1ccc(SSc2ccc(Cl)cc2)cc1,303.15,0.00014,methanol,CO,10.1021/je301243f
O=P(CCCO)(CCCO)CCCO,303.15,0.07018,methanol,CO,10.1021/je301029j
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,303.15,0.0011689,methanol,CO,10.1021/je300647k
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],303.15,0.0113,methanol,CO,10.1021/je1012839
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1.Cl,303.15,0.0101101,methanol,CO,10.1021/je101230a
CP(=O)(O)c1ccccc1,303.15,0.3432,methanol,CO,10.1021/je1009812
C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@H]1C,303.15,0.0012209,methanol,CO,10.1021/je101208p
COc1ccc(P(=O)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,303.15,0.00031,methanol,CO,10.1021/je100341q
N[C@@H](Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O,303.15,0.0009093,methanol,CO,10.1021/je100352r
Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,303.15,6.624e-07,methanol,CO,10.1021/je900851k
CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,303.15,0.07653,methanol,CO,10.1021/je1000928
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,303.15,0.0003572,methanol,CO,10.1021/je9009909
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,303.15,0.0003112,methanol,CO,10.1021/je900742p
Nc1ccc(O)c(C(=O)O)c1,303.15,0.002154,methanol,CO,10.1021/je900646u
OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl,303.15,0.03615,methanol,CO,10.1021/je9008427
CP1(=O)OCC2(CO1)COP(C)(=O)OC2,303.15,0.0056,methanol,CO,10.1021/je9004189
